以下是 台積電 相關的歷史數據紀錄

目前買入均價為：0
目前買入張數為：0
剩餘加碼張數為：5（3張現股+2張融資）

最近交易紀錄：

[台股台積電歷史股價]

日期,開盤價,最高價,最低價,收盤價,調整後的收盤價,成交量,股利,股票分割,漲跌
2025-10-01,1325.0,1350.0,1325.0,1325.0,1325.0,"33,837,323",0.0,0.0,
2025-10-02,1360.0,1370.0,1355.0,1365.0,1365.0,"29,593,487",0.0,0.0,40.0
2025-10-03,1365.0,1400.0,1365.0,1400.0,1400.0,"31,032,341",0.0,0.0,35.0
2025-10-07,1420.0,1445.0,1420.0,1435.0,1435.0,"38,395,572",0.0,0.0,35.0
2025-10-08,1410.0,1420.0,1405.0,1415.0,1415.0,"23,064,494",0.0,0.0,-20.0
2025-10-09,1440.0,1455.0,1430.0,1440.0,1440.0,"39,052,134",0.0,0.0,25.0
2025-10-13,1390.0,1420.0,1390.0,1415.0,1415.0,"53,850,992",0.0,0.0,-25.0
2025-10-14,1455.0,1460.0,1420.0,1425.0,1425.0,"39,889,256",0.0,0.0,10.0
2025-10-15,1435.0,1465.0,1425.0,1465.0,1465.0,"41,056,405",0.0,0.0,40.0
2025-10-16,1465.0,1495.0,1465.0,1485.0,1485.0,"37,737,678",0.0,0.0,20.0
2025-10-17,1455.0,1465.0,1450.0,1450.0,1450.0,"38,077,331",0.0,0.0,-35.0
2025-10-20,1460.0,1495.0,1455.0,1480.0,1480.0,"33,015,553",0.0,0.0,30.0
2025-10-21,1485.0,1500.0,1480.0,1480.0,1480.0,"34,601,251",0.0,0.0,0.0
2025-10-22,1460.0,1470.0,1455.0,1460.0,1460.0,"27,360,948",0.0,0.0,-20.0
2025-10-23,1440.0,1455.0,1435.0,1450.0,1450.0,"23,570,046",0.0,0.0,-10.0
2025-10-27,1500.0,1500.0,1480.0,1480.0,1480.0,"32,851,952",0.0,0.0,30.0
2025-10-28,1480.0,1490.0,1470.0,1475.0,1475.0,"28,381,919",0.0,0.0,-5.0
2025-10-29,1495.0,1515.0,1490.0,1505.0,1505.0,"30,631,103",0.0,0.0,30.0
2025-10-30,1515.0,1520.0,1500.0,1505.0,1505.0,"27,867,757",0.0,0.0,0.0

[台指期盤後]

Date,open,high,low,close,previousClose,spread
2025-03-31,20805,21133,20689,21088,21141,-53
2025-04-01,21237,21388,21061,21334,21088,246
2025-04-02,21300,21668,20808,20859,21334,-475
2025-04-07,17768,19299,17566,18406,20859,-2453
2025-04-08,18245,18845,17726,18050,18406,-356
2025-04-09,17336,18902,17015,18902,18050,852
2025-04-10,19682,19744,18384,18838,18902,-64
2025-04-11,19539,19588,19179,19527,18838,689
2025-04-14,19810,19890,19726,19790,19504,286
2025-04-16,19369,19448,19001,19148,19818,-670
2025-04-17,19351,19361,19313,19337,19365,-28
2025-04-18,19351,19400,19313,19368,19365,3
2025-04-21,19094,19141,18752,18870,19368,-498
2025-04-22,18888,19162,18810,19056,18870,186
2025-04-23,19566,19776,19511,19647,19056,591
2025-04-24,19446,19961,19354,19945,19647,298
2025-04-25,19889,20077,19751,20052,19945,107
2025-04-30,20183,20438,19921,20430,20154,276
2025-05-02,20652,20900,20624,20840,20430,410
2025-05-05,20424.0,20440.0,20139.0,20198.0,20840.0,-642.0
2025-05-06,20333.0,20435.0,20158.0,20247.0,20198.0,49.0
2025-05-08,20561.0,20822.0,20504.0,20680.0,20512.0,168.0
2025-05-09,20852.0,20883.0,20728.0,20794.0,20680.0,114.0
2025-05-12,21068.0,21505.0,21068.0,21485.0,20794.0,691.0
2025-05-14,21802.0,21889.0,21737.0,21818.0,21677.0,141.0
2025-05-15,21821.0,21930.0,21800.0,21894.0,21775.0,119.0
2025-05-16,21821.0,21930.0,21758.0,21828.0,21775.0,53.0
2025-05-19,21518.0,21773.0,21475.0,21750.0,21828.0,-78.0
2025-05-20,21535.0,21615.0,21494.0,21575.0,21750.0,-175.0
2025-05-21,21670.0,21725.0,21390.0,21478.0,21575.0,-97.0
2025-05-22,21508.0,21588.0,21333.0,21531.0,21478.0,53.0
2025-05-23,21449.0,21526.0,21072.0,21250.0,21531.0,-281.0
2025-05-26,21410.0,21435.0,21333.0,21399.0,21250.0,149.0
2025-05-27,21254.0,21303.0,21215.0,21269.0,21404.0,-135.0
2025-05-28,21254.0,21316.0,21192.0,21315.0,21404.0,-89.0
2025-05-29,21281.0,21285.0,20934.0,21061.0,21315.0,-254.0
2025-06-02,20881.0,21102.0,20830.0,21082.0,21061.0,21.0
2025-06-03,21496.0,21563.0,21453.0,21520.0,21217.0,303.0
2025-06-04,21496.0,21597.0,21453.0,21548.0,21217.0,331.0
2025-06-05,21577.0,21585.0,21534.0,21550.0,21530.0,20.0
2025-06-06,21577.0,21712.0,21534.0,21660.0,21530.0,130.0
2025-06-09,21750.0,21880.0,21721.0,21846.0,21660.0,186.0
2025-06-10,22129.0,22312.0,22096.0,22312.0,21846.0,466.0
2025-06-11,22363.0,22493.0,22311.0,22353.0,22312.0,41.0
2025-06-12,22236.0,22350.0,22135.0,22309.0,22353.0,-44.0
2025-06-13,21960.0,22146.0,21948.0,21991.0,22309.0,-318.0
2025-06-16,22061.0,22278.0,22036.0,22221.0,21991.0,230.0
2025-06-17,22144.0,22189.0,22028.0,22070.0,22221.0,-151.0
2025-06-18,21963.0,21990.0,21741.0,21853.0,22070.0,-217.0
2025-06-19,21679.0,21699.0,21466.0,21572.0,21853.0,-281.0
2025-06-20,21645.0,21789.0,21408.0,21460.0,21572.0,-112.0
2025-06-23,21481.0,21628.0,21350.0,21612.0,21460.0,152.0
2025-06-24,22010.0,22160.0,21927.0,22155.0,21612.0,543.0
2025-06-25,22150.0,22213.0,22106.0,22175.0,22155.0,20.0
2025-06-26,22124.0,22188.0,22009.0,22172.0,22175.0,-3.0
2025-06-27,22086.0,22218.0,22036.0,22132.0,22172.0,-40.0
2025-06-30,22138.0,22160.0,22013.0,22160.0,22132.0,28.0
2025-07-01,22350.0,22409.0,22219.0,22293.0,22160.0,133.0
2025-07-02,22390.0,22582.0,22281.0,22570.0,22293.0,277.0
2025-07-03,22713.0,22874.0,22652.0,22793.0,22570.0,223.0
2025-07-07,22312.0,22427.0,22177.0,22222.0,22355.0,-133.0
2025-07-09,22438.0,22568.0,22366.0,22468.0,22268.0,200.0
2025-07-10,22617.0,22695.0,22507.0,22583.0,22468.0,115.0
2025-07-11,22745.0,22752.0,22630.0,22637.0,22583.0,54.0
2025-07-14,22524.0,22612.0,22462.0,22560.0,22637.0,-77.0
2025-07-15,22829.0,22942.0,22814.0,22866.0,22560.0,306.0
2025-07-16,22888.0,22986.0,22810.0,22964.0,22866.0,98.0
2025-07-17,23327.0,23414.0,23250.0,23374.0,22964.0,410.0
2025-07-18,23279.0,23323.0,23177.0,23191.0,23374.0,-183.0
2025-07-21,23260.0,23395.0,23234.0,23253.0,23191.0,62.0
2025-07-22,23016.0,23047.0,22862.0,22987.0,23253.0,-266.0
2025-07-23,23197.0,23345.0,23153.0,23332.0,22987.0,345.0
2025-07-24,23303.0,23327.0,23188.0,23260.0,23332.0,-72.0
2025-07-25,23239.0,23368.0,23189.0,23344.0,23260.0,84.0
2025-07-28,23398.0,23400.0,23246.0,23317.0,23344.0,-27.0
2025-07-29,23200.0,23270.0,23132.0,23193.0,23317.0,-124.0
2025-07-30,23365.0,23444.0,23222.0,23417.0,23193.0,224.0
2025-07-31,23595.0,23683.0,23310.0,23344.0,23417.0,-73.0
2025-08-01,23297.0,23323.0,22979.0,23085.0,23344.0,-259.0
2025-08-04,23282.0,23432.0,23267.0,23420.0,23085.0,335.0
2025-08-05,23599.0,23622.0,23376.0,23398.0,23420.0,-22.0
2025-08-06,23416.0,23526.0,23291.0,23475.0,23398.0,77.0
2025-08-07,24001.0,24132.0,23930.0,24022.0,23475.0,547.0
2025-08-08,23927.0,24020.0,23905.0,24013.0,24022.0,-9.0
2025-08-11,24166.0,24194.0,24071.0,24088.0,24013.0,75.0
2025-08-12,24170.0,24328.0,24133.0,24315.0,24088.0,227.0
2025-08-13,24349.0,24440.0,24305.0,24344.0,24315.0,29.0
2025-08-14,24247.0,24319.0,24193.0,24296.0,24344.0,-48.0
2025-08-15,24320.0,24340.0,24138.0,24155.0,24296.0,-141.0
2025-08-18,24388.0,24439.0,24356.0,24415.0,24155.0,260.0
2025-08-19,24350.0,24380.0,24211.0,24217.0,24415.0,-198.0
2025-08-20,23661.0,23758.0,23531.0,23715.0,24217.0,-502.0
2025-08-21,23870.0,23929.0,23754.0,23800.0,23715.0,85.0
2025-08-22,23720.0,24123.0,23717.0,24115.0,23800.0,315.0
2025-08-25,24230.0,24258.0,24139.0,24180.0,24115.0,65.0
2025-08-26,24242.0,24357.0,24189.0,24356.0,24180.0,176.0
2025-08-27,24473.0,24488.0,24318.0,24351.0,24356.0,-5.0
2025-08-28,24268.0,24443.0,24256.0,24414.0,24351.0,63.0
2025-08-29,24250.0,24284.0,24033.0,24061.0,24414.0,-353.0
2025-09-02,24009.0,24022.0,23691.0,23940.0,24085.0,-145.0
2025-09-03,24020.0,24188.0,23977.0,24129.0,23940.0,189.0
2025-09-04,24125.0,24338.0,24120.0,24335.0,24129.0,206.0
2025-09-05,24440.0,24549.0,24288.0,24478.0,24335.0,143.0
2025-09-08,24570.0,24720.0,24562.0,24712.0,24478.0,234.0
2025-09-09,24809.0,24977.0,24750.0,24977.0,24712.0,265.0
2025-09-10,25193.0,25475.0,25165.0,25361.0,24977.0,384.0
2025-09-11,25259.0,25446.0,25255.0,25409.0,25361.0,48.0
2025-09-12,25428.0,25439.0,25319.0,25378.0,25409.0,-31.0
2025-09-15,25371.0,25449.0,25284.0,25428.0,25378.0,50.0
2025-09-16,25620.0,25649.0,25504.0,25554.0,25428.0,126.0
2025-09-17,25474.0,25635.0,25349.0,25553.0,25554.0,-1.0
2025-09-18,25707.0,25888.0,25594.0,25841.0,25553.0,288.0
2025-09-19,25667.0,25757.0,25642.0,25737.0,25841.0,-104.0
2025-09-22,25864.0,26106.0,25792.0,26070.0,25737.0,333.0
